wavelength,intensity,element
6559.6,0.7202,Hydrogen
6559.602,0.7239,Hydrogen
6559.604,0.7276,Hydrogen
6559.606,0.7315,Hydrogen
6559.608,0.7356,Hydrogen
6559.61,0.7398,Hydrogen
6559.612,0.7442,Hydrogen
6559.614,0.7488,Hydrogen
6559.616,0.7534,Hydrogen
6559.618,0.7579,Hydrogen
6559.62,0.7618,Hydrogen
6559.622,0.7655,Hydrogen
6559.624,0.769,Hydrogen
6559.626,0.7722,Hydrogen
6559.628,0.7753,Hydrogen
6559.63,0.7782,Hydrogen
6559.632,0.781,Hydrogen
6559.634,0.7836,Hydrogen
6559.636,0.7859,Hydrogen
6559.638,0.7883,Hydrogen
6559.64,0.7905,Hydrogen
6559.642,0.7925,Hydrogen
6559.644,0.7946,Hydrogen
6559.646,0.7964,Hydrogen
